First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,Cockaponset,Nipmuck,Bimblers,Tunxis,total
Stephen,Forrest,*,*,*,*,*,*,*,*,60.13,*,*,60.13
Thomas,Roy,60.00,*,*,*,*,*,*,*,*,*,*,60.00
Jeffrey,Scarcella,59.84,*,*,*,*,*,*,*,*,*,*,59.84
Donnie,Smith,*,59.75,*,*,*,*,*,*,*,*,*,59.75
David,Loutzenheiser,*,*,*,*,*,*,*,*,*,59.62,*,59.62
Teagen,Barresi,*,*,*,*,*,*,*,*,59.49,*,*,59.49
Ezequiel,Fernandez,*,*,*,*,*,*,*,*,*,59.19,*,59.19
John,Deforest,58.97,*,*,*,*,*,*,*,*,*,*,58.97
Dave,Lindstrom,58.97,*,*,*,*,*,*,*,*,*,*,58.97
Christopher,Marks,*,*,*,*,*,*,58.94,*,*,*,*,58.94
Jon,Burdeshaw,*,*,*,*,*,*,*,*,*,58.89,*,58.89
Aaron,Manjur,*,*,58.75,*,*,*,*,*,*,*,*,58.75
Jonathan,Alaya,*,*,*,*,*,*,*,*,*,58.51,*,58.51
Dylan,McAulay,*,*,*,*,*,*,58.33,*,*,*,*,58.33
Robert,Buckingham,*,*,*,*,*,*,*,58.26,*,*,*,58.26
Chris,Risko,*,*,*,*,*,*,*,*,58.19,*,*,58.19
Robert,Michaud,*,*,*,*,*,*,*,*,*,*,58.11,58.11
Joey,Madore,58.10,*,*,*,*,*,*,*,*,*,*,58.10
TJephanie,McKenna,*,*,*,*,*,58.08,*,*,*,*,*,58.08
Mitchell,Uzwack II,*,*,*,*,*,*,*,*,*,*,57.84,57.84
Robert,Rakowski,57.79,*,*,*,*,*,*,*,*,*,*,57.79
Michael,Brunelle,*,57.76,*,*,*,*,*,*,*,*,*,57.76
Jack,Fulton,*,*,57.72,*,*,*,*,*,*,*,*,57.72
James,Pierce,*,*,*,*,*,*,*,*,57.65,*,*,57.65
Kenny,Shardlow,*,*,*,*,*,*,*,*,*,57.58,*,57.58
Anthony,Niglio,*,*,*,*,*,*,*,*,*,57.37,*,57.37
Jacob,Earp,*,*,*,57.33,*,*,*,*,*,*,*,57.33
John,Goldrosen,*,*,57.32,*,*,*,*,*,*,*,*,57.32
Thomas,Parker,*,*,*,57.25,*,*,*,*,*,*,*,57.25
